id,order_number,customer_id,product_id,quantity,unit_price,order_date,status,region
1001,ORD-1000,1,1,2,1299.99,2024-01-15,completed,North
1002,ORD-1001,2,2,5,49.99,2024-01-16,completed,South
1003,ORD-1002,3,3,1,149.99,2024-01-17,completed,East
1004,ORD-1003,4,4,3,399.99,2024-01-18,completed,West
1005,ORD-1004,5,5,10,39.99,2024-01-19,completed,Central
1006,ORD-1005,6,6,2,89.99,2024-01-20,completed,North
1007,ORD-1006,7,7,5,24.99,2024-01-21,completed,South
1008,ORD-1007,8,8,3,59.99,2024-01-22,completed,East
1009,ORD-1008,9,9,1,149.99,2024-01-23,completed,West
1010,ORD-1009,10,10,2,79.99,2024-02-01,completed,Central
1011,ORD-1010,1,11,1,99.99,2024-02-02,completed,North
1012,ORD-1011,2,12,4,34.99,2024-02-03,completed,South
1013,ORD-1012,3,13,1,299.99,2024-02-04,completed,East
1014,ORD-1013,4,14,2,149.99,2024-02-05,completed,West
1015,ORD-1014,5,15,1,499.99,2024-02-06,completed,Central
1016,ORD-1015,6,1,1,1299.99,2024-02-07,completed,North
1017,ORD-1016,7,2,3,49.99,2024-02-08,completed,South
1018,ORD-1017,8,3,2,149.99,2024-02-09,completed,East
1019,ORD-1018,9,4,1,399.99,2024-02-10,completed,West
1020,ORD-1019,10,5,5,39.99,2024-03-01,completed,Central
1021,ORD-1020,1,6,2,89.99,2024-03-02,completed,North
1022,ORD-1021,2,7,10,24.99,2024-03-03,completed,South
1023,ORD-1022,3,8,4,59.99,2024-03-04,completed,East
1024,ORD-1023,4,9,2,149.99,2024-03-05,completed,West
1025,ORD-1024,5,10,1,79.99,2024-03-06,completed,Central
1026,ORD-1025,6,11,2,99.99,2024-03-07,completed,North
1027,ORD-1026,7,12,3,34.99,2024-03-08,completed,South
1028,ORD-1027,8,13,1,299.99,2024-03-09,completed,East
1029,ORD-1028,9,14,1,149.99,2024-03-10,completed,West
1030,ORD-1029,10,15,1,499.99,2024-04-01,completed,Central
1031,ORD-1030,1,2,5,49.99,2024-04-02,completed,North
1032,ORD-1031,2,3,1,149.99,2024-04-03,completed,South
1033,ORD-1032,3,4,2,399.99,2024-04-04,completed,East
1034,ORD-1033,4,5,10,39.99,2024-04-05,completed,West
1035,ORD-1034,5,6,3,89.99,2024-04-06,completed,Central
1036,ORD-1035,6,7,5,24.99,2024-04-07,completed,North
1037,ORD-1036,7,8,2,59.99,2024-04-08,completed,South
1038,ORD-1037,8,9,1,149.99,2024-04-09,completed,East
1039,ORD-1038,9,10,2,79.99,2024-04-10,completed,West
1040,ORD-1039,10,11,1,99.99,2024-05-01,completed,Central
1041,ORD-1040,1,12,4,34.99,2024-05-02,completed,North
1042,ORD-1041,2,13,1,299.99,2024-05-03,completed,South
1043,ORD-1042,3,14,2,149.99,2024-05-04,completed,East
1044,ORD-1043,4,15,1,499.99,2024-05-05,completed,West
1045,ORD-1044,5,1,1,1299.99,2024-05-06,completed,Central
1046,ORD-1045,6,2,3,49.99,2024-05-07,completed,North
1047,ORD-1046,7,3,2,149.99,2024-05-08,completed,South
1048,ORD-1047,8,4,1,399.99,2024-05-09,completed,East
1049,ORD-1048,9,5,5,39.99,2024-05-10,completed,West
1050,ORD-1049,10,6,2,89.99,2024-06-01,completed,Central
