id,name,description,category,price,cost,stock_quantity
1,Laptop Pro 15,High-performance laptop with 15-inch display,Electronics,1299.99,800.00,50
2,Wireless Mouse,Ergonomic wireless mouse with precision tracking,Electronics,49.99,15.00,200
3,Mechanical Keyboard,RGB mechanical keyboard with Cherry MX switches,Electronics,149.99,60.00,100
4,27-inch Monitor,4K UHD monitor with HDR support,Electronics,399.99,250.00,75
5,USB-C Hub,7-in-1 USB-C hub with HDMI and USB 3.0 ports,Electronics,39.99,12.00,150
6,Running Shoes,Lightweight running shoes with cushioned sole,Clothing,89.99,35.00,120
7,Cotton T-Shirt,"100% cotton t-shirt, available in multiple colors",Clothing,24.99,8.00,300
8,Denim Jeans,Classic fit denim jeans with stretch,Clothing,59.99,22.00,200
9,Winter Jacket,Waterproof winter jacket with insulation,Clothing,149.99,55.00,80
10,Coffee Maker,Programmable coffee maker with thermal carafe,Home,79.99,30.00,90
11,Blender,High-speed blender for smoothies and food prep,Home,99.99,40.00,70
12,Desk Lamp,LED desk lamp with adjustable brightness,Home,34.99,12.00,180
13,Office Chair,Ergonomic office chair with lumbar support,Furniture,299.99,120.00,40
14,Bookshelf,5-tier wooden bookshelf,Furniture,149.99,60.00,60
15,Standing Desk,Adjustable height standing desk,Furniture,499.99,200.00,30
