id,order_number,customer_id,product_id,quantity,unit_price,order_date,status,region
1,ORD-202400001,2,11,1,600,2024-03-11,Shipped,South
2,ORD-202400002,44,12,1,1500,2024-05-19,Pending,West
3,ORD-202400003,6,1,1,75000,2024-02-25,Shipped,Central
4,ORD-202400004,13,1,5,75000,2024-06-15,Delivered,West
5,ORD-202400005,38,4,4,18000,2024-03-12,Delivered,North
6,ORD-202400006,45,13,2,6500,2024-04-18,Shipped,South
7,ORD-202400007,7,4,3,18000,2024-01-24,Delivered,East
8,ORD-202400008,39,14,3,5500,2024-03-08,Delivered,West
9,ORD-202400009,25,9,1,8500,2024-01-21,Delivered,Central
10,ORD-202400010,37,15,3,5000,2024-02-19,Delivered,North
11,ORD-202400011,50,11,2,600,2024-03-15,Cancelled,South
12,ORD-202400012,25,14,1,5500,2024-03-12,Delivered,East
13,ORD-202400013,23,3,3,3500,2024-02-23,Delivered,North
14,ORD-202400014,35,10,2,3500,2024-03-03,Processing,West
15,ORD-202400015,15,5,5,2000,2024-06-24,Shipped,North
16,ORD-202400016,21,4,1,18000,2024-04-12,Shipped,South
17,ORD-202400017,46,15,5,5000,2024-03-21,Shipped,West
18,ORD-202400018,10,7,4,800,2024-03-08,Processing,Central
19,ORD-202400019,48,9,3,8500,2024-05-29,Delivered,Central
20,ORD-202400020,15,7,3,800,2024-02-05,Delivered,North
21,ORD-202400021,8,13,1,6500,2024-02-09,Delivered,West
22,ORD-202400022,25,10,1,3500,2024-04-07,Delivered,West
23,ORD-202400023,36,9,3,8500,2024-01-03,Delivered,North
24,ORD-202400024,49,11,5,600,2024-03-09,Delivered,East
25,ORD-202400025,28,2,3,1200,2024-02-10,Delivered,East
26,ORD-202400026,33,9,2,8500,2024-01-28,Delivered,East
27,ORD-202400027,39,14,5,5500,2024-02-20,Processing,South
28,ORD-202400028,1,9,5,8500,2024-06-02,Shipped,North
29,ORD-202400029,20,2,3,1200,2024-03-02,Pending,Central
30,ORD-202400030,47,2,1,1200,2024-05-04,Delivered,Central
31,ORD-202400031,9,13,2,6500,2024-06-17,Delivered,Central
32,ORD-202400032,34,3,3,3500,2024-06-04,Delivered,South
33,ORD-202400033,49,15,5,5000,2024-06-25,Shipped,East
34,ORD-202400034,29,7,3,800,2024-05-12,Delivered,South
35,ORD-202400035,22,4,1,18000,2024-01-06,Delivered,South
36,ORD-202400036,1,10,2,3500,2024-01-19,Delivered,North
37,ORD-202400037,3,4,1,18000,2024-03-25,Pending,South
38,ORD-202400038,14,5,4,2000,2024-05-18,Processing,Central
39,ORD-202400039,16,10,4,3500,2024-05-01,Delivered,South
40,ORD-202400040,43,2,1,1200,2024-04-20,Delivered,West
41,ORD-202400041,44,8,1,1800,2024-06-16,Cancelled,North
42,ORD-202400042,47,1,4,75000,2024-03-27,Delivered,North
43,ORD-202400043,13,4,2,18000,2024-05-17,Delivered,West
44,ORD-202400044,30,3,3,3500,2024-03-04,Delivered,North
45,ORD-202400045,7,8,5,1800,2024-01-13,Delivered,Central
46,ORD-202400046,6,14,1,5500,2024-03-01,Processing,West
47,ORD-202400047,26,8,2,1800,2024-01-16,Processing,North
48,ORD-202400048,30,7,3,800,2024-03-14,Delivered,Central
49,ORD-202400049,10,11,4,600,2024-02-18,Shipped,North
50,ORD-202400050,4,10,5,3500,2024-03-21,Pending,Central
51,ORD-202400051,34,8,5,1800,2024-02-10,Pending,Central
52,ORD-202400052,5,2,2,1200,2024-06-01,Pending,South
53,ORD-202400053,37,7,1,800,2024-03-04,Delivered,North
54,ORD-202400054,27,10,1,3500,2024-06-17,Delivered,Central
55,ORD-202400055,14,6,3,4500,2024-06-20,Delivered,South
56,ORD-202400056,9,5,4,2000,2024-06-20,Delivered,West
57,ORD-202400057,1,6,1,4500,2024-04-27,Delivered,Central
58,ORD-202400058,35,2,1,1200,2024-02-24,Delivered,South
59,ORD-202400059,5,15,3,5000,2024-03-03,Delivered,South
60,ORD-202400060,46,8,5,1800,2024-03-18,Delivered,Central
61,ORD-202400061,20,1,5,75000,2024-06-18,Processing,South
62,ORD-202400062,7,5,1,2000,2024-05-21,Processing,East
63,ORD-202400063,46,10,2,3500,2024-03-28,Shipped,East
64,ORD-202400064,17,9,4,8500,2024-01-14,Pending,West
65,ORD-202400065,3,14,3,5500,2024-01-01,Shipped,South
66,ORD-202400066,11,11,3,600,2024-04-23,Delivered,West
67,ORD-202400067,8,9,1,8500,2024-01-20,Delivered,South
68,ORD-202400068,24,9,1,8500,2024-05-29,Delivered,West
69,ORD-202400069,20,3,1,3500,2024-04-03,Delivered,North
70,ORD-202400070,14,15,3,5000,2024-06-23,Shipped,North
71,ORD-202400071,27,6,5,4500,2024-06-07,Delivered,South
72,ORD-202400072,12,14,2,5500,2024-04-15,Pending,East
73,ORD-202400073,43,13,4,6500,2024-03-04,Shipped,North
74,ORD-202400074,31,7,1,800,2024-02-26,Processing,West
75,ORD-202400075,15,6,3,4500,2024-02-27,Pending,South
76,ORD-202400076,18,7,3,800,2024-01-18,Cancelled,East
77,ORD-202400077,26,6,5,4500,2024-06-22,Cancelled,Central
78,ORD-202400078,8,6,1,4500,2024-03-07,Processing,East
79,ORD-202400079,39,1,1,75000,2024-04-21,Shipped,East
80,ORD-202400080,33,7,5,800,2024-01-30,Delivered,Central
81,ORD-202400081,3,4,3,18000,2024-04-21,Pending,Central
82,ORD-202400082,24,11,2,600,2024-04-20,Pending,East
83,ORD-202400083,43,10,3,3500,2024-02-01,Delivered,East
84,ORD-202400084,43,9,3,8500,2024-04-14,Shipped,East
85,ORD-202400085,13,9,2,8500,2024-04-17,Delivered,West
86,ORD-202400086,40,11,2,600,2024-05-25,Shipped,Central
87,ORD-202400087,20,14,1,5500,2024-03-14,Shipped,Central
88,ORD-202400088,30,10,3,3500,2024-04-23,Delivered,South
89,ORD-202400089,48,9,4,8500,2024-02-13,Delivered,East
90,ORD-202400090,22,9,5,8500,2024-01-24,Delivered,South
91,ORD-202400091,15,11,3,600,2024-02-20,Processing,North
92,ORD-202400092,40,4,4,18000,2024-01-19,Delivered,Central
93,ORD-202400093,32,4,4,18000,2024-04-12,Shipped,North
94,ORD-202400094,50,15,1,5000,2024-04-18,Shipped,Central
95,ORD-202400095,36,8,1,1800,2024-03-04,Delivered,North
96,ORD-202400096,30,8,2,1800,2024-06-19,Delivered,Central
97,ORD-202400097,49,10,3,3500,2024-04-23,Delivered,Central
98,ORD-202400098,29,7,5,800,2024-02-10,Delivered,West
99,ORD-202400099,49,8,3,1800,2024-03-04,Delivered,East
100,ORD-202400100,32,13,5,6500,2024-06-09,Shipped,West
101,ORD-202400101,16,2,3,1200,2024-03-10,Shipped,Central
102,ORD-202400102,10,2,2,1200,2024-02-29,Delivered,South
103,ORD-202400103,5,12,2,1500,2024-04-16,Delivered,Central
104,ORD-202400104,4,8,4,1800,2024-02-22,Delivered,West
105,ORD-202400105,45,15,5,5000,2024-01-06,Delivered,Central
106,ORD-202400106,1,7,4,800,2024-03-31,Shipped,West
107,ORD-202400107,35,14,4,5500,2024-05-19,Delivered,South
108,ORD-202400108,18,8,2,1800,2024-04-21,Delivered,West
109,ORD-202400109,47,6,4,4500,2024-02-12,Delivered,South
110,ORD-202400110,2,10,5,3500,2024-04-10,Delivered,North
111,ORD-202400111,9,2,4,1200,2024-04-28,Processing,East
112,ORD-202400112,14,7,3,800,2024-04-26,Shipped,West
113,ORD-202400113,17,5,4,2000,2024-01-21,Delivered,Central
114,ORD-202400114,15,1,3,75000,2024-06-15,Pending,North
115,ORD-202400115,16,13,1,6500,2024-02-21,Delivered,Central
116,ORD-202400116,9,3,2,3500,2024-05-01,Delivered,Central
117,ORD-202400117,45,4,4,18000,2024-03-06,Delivered,South
118,ORD-202400118,48,10,5,3500,2024-01-30,Delivered,South
119,ORD-202400119,38,5,1,2000,2024-01-07,Delivered,Central
120,ORD-202400120,26,11,4,600,2024-02-20,Pending,South
121,ORD-202400121,44,2,3,1200,2024-06-02,Delivered,Central
122,ORD-202400122,23,13,1,6500,2024-05-16,Delivered,East
123,ORD-202400123,42,2,5,1200,2024-03-28,Pending,West
124,ORD-202400124,7,14,4,5500,2024-04-20,Cancelled,West
125,ORD-202400125,28,12,2,1500,2024-02-15,Delivered,East
126,ORD-202400126,50,10,5,3500,2024-05-03,Delivered,Central
127,ORD-202400127,16,5,3,2000,2024-01-23,Shipped,West
128,ORD-202400128,37,4,4,18000,2024-06-05,Delivered,East
129,ORD-202400129,21,1,4,75000,2024-02-16,Delivered,East
130,ORD-202400130,22,13,3,6500,2024-03-12,Delivered,East
131,ORD-202400131,34,9,1,8500,2024-02-18,Pending,West
132,ORD-202400132,49,8,5,1800,2024-03-02,Delivered,West
133,ORD-202400133,6,8,1,1800,2024-03-16,Shipped,South
134,ORD-202400134,24,5,5,2000,2024-05-01,Delivered,East
